,Unnamed: 0,tags,text,classificacao,pos
3089,3089,1, chupa seu porco a cana e doce e dura viu safado,1,1
4695,4695,0,bolsonaro e homofobico racista e misogino se voce tem amigo negro uma linda filha ou um familiar gay think aboutodoscompablovitar,1,0
1839,1839,1,nenhum partido politico e maior do que o brasilninguem esta acima da leiforcahonra ,1,1
2315,2315,1,alem do sonho e preciso agir criar as proprias oportunidades superar os obstaculos persistir ate conseguir o sucesso vem para quem o merece para quem nao se deixa abater e continua confiando em si,1,1
3007,3007,1, yjcxqunlz8 15 rs,1,1
3850,3850,1, so ler os comentarios e hilario ,1,1
4641,4641,1, pessoal o governador de mg e o prefeito da minha cidade estao querendo fechar 3 escolas estaduais daqui e queria pedir,1,1
5071,5071,1, video sexo por notas cameras escondidas expoem professores assediadores na nigeria e em gana ,1,1
1623,1623,1, come on whats with the side kick he sure doesnt walk like a stable genius ,1,1
612,612,1,o governo bem que tenta mas a resistencia a censura e mais forte ,1,1
4795,4795,1,qual o pai ou mae acha normal um presidente carregando uma crianca com uma arma na mao como se fosse um trofeu pera ai gente isso nao pode ser tratado como normal,0,0
4098,4098,1,foi tarde sucuri idiota ,1,1
4829,4829,1,para as mais beijinho para as recalcada ,1,1
2753,2753,1,o sonho dos esquerdopatas continua sendo so um sonho ,0,2
1367,1367,1,fogaca juliana seu prato me surprendeu n positivamenteu masterchef ,1,1
1764,1764,1, silencio o jovem esta descobrindo o brisadeiro ,1,1
559,559,2,2 o brasil e o quarto colocado no ranking mundial absoluto e o terceiro pais da america latina com maior indice de casamentos de meninas com menos de 18 anos as mulheres representam menos de 30 dos pesquisadores em todo o mundo diadamenina,0,1
295,295,1, psol pede a pgr investigar uso de milicias digitais por familia bolsonaro ,0,0
4617,4617,1, tudo o que o homem plantar ele mesmo colheraquem planta amor colhe amornobelparalula ,0,0
1293,1293,1,english speaking practice via ,1,1
493,493,1,o laranjal pode derrubar bolsonaro a censura esta de volta comenta silvio santos e o assedio infantil em tv aberta terceiro episodio de cafecomboulos,0,0
1334,1334,1,e gratificante ver a linda cia folclorica matutos do reino de carutapera levando o nome da nossa cidade para todo o estado parabens a todos os envolvidos tudo muito bem feito meus sinceros aplausos em sao ,1,1
4444,4444,1,agora sim da pra encher a cara ,1,1
4849,4849,1, odeio sair com gente q so fala de faculdade q tudo q vai falar bota um autor no meio meu filha vamo falar do et bilu ma,1,1
3863,3863,1,novafotodoperfil ,1,1
3389,3389,1,rio muito com as mina do busao achando que eu to secando os namorados delaspior e que nem de homem eu gosto,1,1
4009,4009,1,azedou,1,1
1224,1224,1, virei assinante recentemente que ap e esse usado pra ver a rentabilidade,1,1
193,193,1,educacao educacao e educacao ideia exemplo e militanciaas criancas que melhor aprenderam a ler e escrever no brasil vivem no sertao do sertao do nordeste ,0,0
4404,4404,1, eba maravilhosa  ,1,1
2243,2243,1, feliz amigoantes tarde do que nuncae melhor nao saber definir um sentimento hojeque nao saber definir a dor enquanto o caixao se fecha,1,1
4292,4292,1, relaxa ta muito bom eu tenho problema com atencao e sua didatica pra podcast consegue prender minha atencao no caso evandro entao,1,1
667,667,1, so me diz o lugar flor,1,1
2880,2880,1, que onda com os doce,1,1
4524,4524,1, temos o dragao do tradicionalismo a direita e violenta e injusta estao fuzilando o papa o sinodo o concilio vaticano segundo,0,0
4287,4287,1,no caso do boy da terra plana eu gritei termina so depois percebi que tava trabalhando e todo mundo ficou me olhando k comentando met gala e recomendando divas poderosas para ouvir ,1,1
1979,1979,1, que pressao politica e muita incompetencia ele e nojento,1,1
2294,2294,1, bolsonaro toma uma sonora vaia em aparecida do norte ,1,1
285,285,1,dudu bolsonaro queria ser embaixador dos eua e terminou correndo desesperado da imprensa com a palavra ,0,0
2388,2388,1, bom dia,1,1
3313,3313,1, deferiascelebs gente serio que esse cara que saiu do mar e esse cara do insta muito diferente ,1,1
4611,4611,1, guerra com o psl impulsiona ataques contra bolsonaro nas redes no ,1,1
5607,5607,1, referente ao trabalho gostei muito pois e uma forma correta de usar as redes sociais com isso o feminismo ganhou forcacom isso podemos promover cada vez mais o engajamentopresencainic ,0,0
3648,3648,1, deve ser amigo ou parente de frota se aliou para se eleger ou tava convicto mesmo so deve ter se arrependido como muitos hoje so nao da o braco a torcer rssr,1,1
37,37,2,notempodolula mensalao petrolao bndes financiando ditaduras triplex no guaruja sitio de atibaia indicacao de advogado para o stf escandalo dos correiossigo esperando a esquerda citar isso tambem,1,2
1039,1039,1, se ta com sono vaza do twiter e vai dormir ora porra,1,1
104,104,1,obrigado ao publico pela excelente audiencia e obrigado a toda equipe do programa pelos excelentes programas sem voces eu nao poderia dizer que hoje de noite tem mais the noite ,1,1
4582,4582,1, a melhor deste ano foi quando vc chamou o paulo guedes de tchutchuca k cara ficou pistola k,0,0
257,257,0,meu professor no correio do povo de hoje ,0,1
4606,4606,1, muito menos ela ne,1,1
1710,1710,1,kleber diaz sobrenatural ,1,1
5064,5064,0, dia das criancas e os pais abandonando os filhos so porque sao feios ,0,1
5515,5515,1, rip seu ultimo neuronio deve ter falecido,1,1
751,751,1, forte abraco paulo kogos ,1,1
64,64,1, 35 milhoes de brasileiros sem acesso a agua tratada metade da populacao sem coleta de esgoto do que e coletado so 45,1,1
4663,4663,1, sdv,1,1
4304,4304,0,em um momento da historia brasileira em que a educacao laica e os professores estao sendo atacados ,1,0
1763,1763,1, a barata vai me matar k,1,1
2644,2644,1, top das galaxias este pr bsnr,1,1
1949,1949,0, que bom agora sabemos q as informacoes foram obtidas pelo hacker antes de se comunicar com intercept ou manuela ou seja,0,1
3155,3155,1, suhahsuhau sim,1,1
3953,3953,1, tem algm que ta precisando ou conhece algm que esteja precisando de um armario de cozinha ele e pequeno estilo balcao e ta,1,1
3748,3748,1, podia fazer uma materia eim nunca ouvi falar disso,1,1
4898,4898,1, eu so sou sobrio,1,1
5324,5324,1, sai fora careca dos infernos lula e muito respeitado aqui e la fora coisa que seu presidente fake nunca sera,0,0
3584,3584,1, hj 5 mortos no alemao e mare na terca 4 mortos no jacarezinho policiais em helicopteros fuzilando pessoas moradores,1,1
2944,2944,1, bicho outro dia tava ouvindo o podcast e fui seco pra pegar un link e uma info do que tavam falando nao tinha podcastesfera deixou a gente malacostumadao quebra essas camaradas,1,1
2408,2408,1,o filme egipcio laltra par durou 3 minutos ganhou o premio de melhor curtametragem no festival de cinema o diretor tem 20 anos descreve ele como as pessoas se isolam na tecnologia e esquecem das melhores coisas da vida como convivencia humana com o amor e a irmandade ,1,1
2298,2298,1, que as palavras de reprovacao ao odio proferidas em aparecida abram os olhos dos que foram por ele enganados e fortal,1,1
1974,1974,2, senador estamos aguardando a aprovacao da reforma da previdencia e urgente e para ontem nos sabemos porque voces nao estao se esforcando estamos de olho no futuro o brasil cobrara de voce davi,1,2
4777,4777,1, asylum ,1,1
2896,2896,1, eu no passado pedia uma varoa nem imaginava que gostava mesmo era do varao ,1,1
2657,2657,1, a tron sem duvidas e a melhor e mais diversificada,1,1
4018,4018,0, brasil episodio de hoje planilha implica bolsonaro em caixa 2 ta com sua mae responde bolsonaro a pergunta s,1,0
3415,3415,1, pra ver si estou certort modo noturnofav modo branco ,1,1
911,911,1,novafotodoperfil ,1,1
5170,5170,1, empata com senegal ,1,1
3071,3071,1, felizdiadascriancasa melhor rede social na minha epocaera uma calcada cheia de amigos ,1,1
4749,4749,1, o tamaninho de sergio moro apenas nesta semana stf concluiu que ele violou repetidamente os direitos dos reus aras,0,0
2286,2286,1, faz todo sentido,1,1
4095,4095,1, ele me bloqueou depois desse argumento k sofro ,1,1
1734,1734,1, everybody get salty when your life get swet you can kep on frontin but i know,1,1
183,183,0,a militarizacao das escolas e a porta do atraso educacao nao combina com repressao,1,0
2559,2559,1, oleo venezuelano em barril de lubrificante reutilizado com navio fantasma em bangladesh sem gps deve ter caroco nes,0,2
1104,1104,1, pessimistas me desculpem mas o brasil vai dar certo ministro tarcisio sensacional ,1,1
5605,5605,1, greys anatomy e so uma serie boba de medicos oq a serie realmente mostra saude publica lgtbqalcolismotraumas,1,1
1817,1817,1, vc consegue levantar uma pa ksksks,1,1
4105,4105,1, o trump citou como um dos motivos pra ter abandonado os curdos e que eles nao apoiaram os eua na segunda guerra mundial iss,1,1
5292,5292,1,entao ne ,1,1
1184,1184,1, discurso nazista e teu cu eu moro no sul e n tem nada disso,0,2
328,328,1,falta material para as equipes que coletam o oleo nas praias por exemplo pernambuco solicitou ao gov federal 50 mil luvas de pvc 10 mil botas 30 protetores solares e 5 mil mascaras entre outros materiais e ate agora nao foi atendido,1,1
1223,1223,1, ,1,1
3324,3324,0, voces falando que o ross nao votaria no bolsonaro porque e professor academico e gentek o que mais tem e docente bol,0,1
5657,5657,1, discordo de voce nesse segundo twet ser liberal me parece muito mais sobre defender os mais pobres que o inverso,0,2
1433,1433,1, ta ja que voce pediu pra fazer mais hoh e o passaro lendario das parada lgbtqi por isso ele tem esse arcoiris ,0,0
4855,4855,1, outra coisa e ficar mandando todo mundo ir fazer terapia sem entender que nem todos conseguem ter acesso a uma isso e,1,1
3751,3751,1, quem,1,1
1562,1562,1, jejumqual foi a ultima vez que voce jejuou para buscar a deus jejum nao e greve de fome nao e regime para emagrecer,1,1
4432,4432,1, tomara que o governo daqui tenha o mesmo fim que a ultima corte russa,1,1
3201,3201,1, gracas a deus ,1,1
1579,1579,1, you must listen at im geting confused do i live at same brazil that they are talking about,1,1
394,394,1,augusto aras no pingos nos is e vergonhoso e revoltante nao so desqualifica a operacao lava jato e o juiz sergio moro baseado no intercept como defende o inquerito ilegal do stf,0,2
4650,4650,1,oscarnoponto eu e minha filha sarah curtindo a live do oscar 2019 ,1,1
2537,2537,2, nao e pra reproduzir este video do pacote anti crime ouviram ,1,2
5215,5215,1, o grande que hoje faz a melhor cobertura sobre politica externa brasileira narra em detalhes como a guinada di,1,1
4008,4008,0,eita,0,1
5049,5049,1, se o neymar carregou o brasil nas costas carregou pro lado errado pq perdeu as copa tudo,1,1
1067,1067,1, colegio que usa texto com a expressao talvez abreviasse a minha vida em prova dirigida a criancas ou adolescentes est,1,1
1464,1464,1, via ,1,1
4319,4319,1, cabular e faltar k,1,1
2487,2487,1,celebracao do golpe subverte a disciplina militar via ,1,1
3120,3120,1,ninfeta do whatsap caiu com video nude ,1,1
5115,5115,1, na verdade bolsonaro editou o video mas vc pode ver a noticia sem cortes aqui,0,0
2233,2233,1, nao retuitem esse video porque o tcu proibiu talkey pacoteanticrimeja ,0,2
5291,5291,1, a pior vinganca de todo o anime na moralsasuke so sonha k,1,1
4968,4968,1, q b mais fofa,1,1
2077,2077,1,vamos implantar sistema usina de lixo,1,1
2105,2105,1,sou paulistano e aguardo a adesao da minha cidade nas escolas civil militar ,0,2
3115,3115,1, mostre a sua cara e seja voce mesmo,1,1
2278,2278,1, otimista vc mentes tao bem,1,1
1706,1706,1,meu burro favorito ,1,1
4926,4926,1, porra imagina andar na rua sem ouvir gracinha de homem nojento ai meu sonho,0,0
178,178,1,cafecomboulos entenda o que significa o acordo de alcantara ,1,1
4342,4342,1, ,1,1
81,81,1,apos forte pressao dos motoristas de aplicativo e articulacao que fizemos com outros vereadores da camara municipal conseguimos suspender a tramitacao do projeto que pretende acabar com os aps na cidade de sao pauloimportante vitoria mas a luta continua ,1,1
5320,5320,1, ate que enfim ele falou uma verdade,1,1
2584,2584,1, a maior decepcao para o brasil,1,1
200,200,1,participo agora da i conferencia nacional de educacao em porto alegre com ,1,1
4092,4092,1, eu so nao gosto dele e acho ele forcado mas se vcs gostam continuem gostando e apreciando o trabalho dele cada um com a sua opiniao amada ,1,1
3669,3669,1,iurd igrejauniversal fjublocosul ,1,1
3681,3681,1, hj eu so quero ser mimada e comprendida,1,1
25,25,1, senado finalmente aprovou a reforma da previdencia com um impacto de pelo menos r 80 bilhoes em 10 anos e uma vitoria para,0,2
1153,1153,1, com que dinheiro,1,1
419,419,1, maturidade politica por parte dos membros do reunidos com o vereador o mais jovem da h,1,1
1239,1239,1,compra essa porcaria de livro e de de presente pra um dos meus vai levar muita porradaduvido que vcs dao uma merda dessa pra filhos seus ou parentes edicao20,1,1
3644,3644,1, ai q ele nao consegue nada ja ta ruim pra ele k,1,1
3222,3222,1, sulamericano brasil vence colombia por 3 sets a 0 252 2523 e 2520 e e campeao pela 21a vez parabens ht,1,1
1606,1606,1, o clipe ta lindo a paisagem impecavel o jao ja e uma poesia a parte,1,1
3090,3090,1, tu nao eras evangelico sua besta,1,1
2189,2189,0, o maior injusticado da historia da selecao brasileira,0,1
1404,1404,1, boicote total,1,1
1756,1756,1, pra cima moro,0,2
1971,1971,1, o brasil acima de tudo e deus acima de tudo estou com o presidente,0,2
3172,3172,1, a tim de tanto roubar os meus mb de internet ja esta ficando um lixao,1,1
1737,1737,1, so overwhelmed by al the love amitynoida thank you al for coming out i can stil hear your roar so excited tha,1,1
2330,2330,1,depois de rastelar a grama e cuidar do jardime hora do rangoacho que ficou bom casa da gi ,1,1
397,397,1,que bom que assistiu o video os vetos apesar de prematuros e arriscados nao sao o problema e o que foi sancionado e o que flavio e o psl estao fazendocomo voce mesmo disseso confio mesmo na minha mae e no meu pai ,1,1
4285,4285,1, tomara que encontrem uma roxa pra interpretar a ursula entao ne meu deus,1,1
2721,2721,1, governo temer pagou r 73 milhoes a salao de beleza em pernambuco uma forcatarefa do tcu montada para vasculhar contr,1,1
3531,3531,1, no video de lancamento da campanha emdefesadaindependenciajudicialgarantismo a presidenta da ajd valdete souto severo af,1,1
